iter	Passed	Remaining
186	4113	17882
187	4133	17854
188	4158	17845
189	4180	17823
190	4200	17789
191	4225	17780
192	4249	17769
193	4271	17744
194	4294	17730
195	4321	17726
196	4347	17720
197	4377	17731
198	4406	17736
199	4432	17729
200	4457	17720
201	4487	17726
202	4509	17704
203	4530	17677
204	4549	17643
205	4572	17625
206	4596	17607
207	4620	17592
208	4645	17580
209	4668	17562
210	4690	17539
211	4713	17519
212	4740	17514
213	4761	17490
214	4784	17468
215	4805	17443
216	4832	17436
217	4858	17427
218	4882	17410
219	4907	17399
220	4933	17388
221	4956	17369
222	4982	17359
223	5006	17344
224	5036	17348
225	5063	17342
226	5089	17329
227	5110	17302
228	5133	17282
229	5152	17250
230	5173	17222
231	5197	17203
232	5221	17187
233	5250	17187
234	5271	17161
235	5290	17126
236	5311	17100
237	5333	17074
238	5353	17045
239	5379	17036
240	5401	17011
241	5427	16999
242	5453	16989
243	5480	16979
244	5509	16978
245	5532	16956
246	5564	16965
247	5594	16962
248	5631	16985
249	5678	17036
250	5713	17049
251	5743	17049
252	5772	17044
253	5795	17021
254	5825	17019
255	5860	17031
256	5889	17025
257	5912	17003
258	5947	17016
259	5972	16999
260	5991	16963
261	6013	16937
262	6042	16933
263	6065	16908
264	6087	16883
265	6107	16852
266	6128	16824
267	6152	16804
268	6174	16779
269	6196	16753
270	6220	16733
271	6248	16724
272	6276	16715
273	6305	16708
274	6327	16681
275	6354	16668
276	6374	16637
277	6393	16603
278	6415	16580
279	6436	16551
280	6456	16520
281	6475	16486
282	6505	16481
283	6527	16457
284	6546	16422
285	6570	16403
286	6592	16377
287	6616	16356
288	6636	16328
289	6655	16295
290	6677	16270
291	6705	16258
292	6739	16261
293	6761	16237
294	6781	16206
295	6801	16175
296	6821	16147
297	6845	16126
298	6868	16103
299	6896	16092
300	6928	16090
301	6956	16077
302	6986	16070
303	7012	16055
304	7045	16054
305	7083	16064
306	7112	16054
307	7136	16033
308	7163	16018
309	7181	15983
310	7203	15958
311	7225	15933
312	7251	15917
313	7271	15885
314	7299	15872
315	7328	15863
316	7359	15857
317	7384	15837
318	7410	15820
319	7433	15795
320	7454	15769
321	7477	15744
322	7501	15723
323	7526	15702
324	7553	15688
325	7579	15670
326	7603	15647
327	7624	15621
328	7647	15596
329	7669	15571
330	7692	15547
331	7712	15517
332	7734	15492
333	7757	15468
334	7777	15438
335	7805	15425
336	7828	15402
337	7862	15399
338	7892	15388
339	7927	15388
340	7961	15385
341	7993	15380
342	8027	15377
343	8060	15371
344	8088	15357
345	8121	15350
346	8153	15343
347	8183	15332
348	8212	15318
349	8245	15313
350	8271	15294
351	8294	15270
352	8319	15248
353	8341	15222
354	8363	15195
355	8386	15171
356	8409	15145
357	8433	15123
358	8458	15103
359	8485	15085
360	8505	15056
361	8534	15040
362	8569	15037
363	8602	15030
364	8630	15014
365	8661	15004
366	8694	14996
367	8726	14986
368	8760	14981
369	8785	14959
370	8811	14939
371	8841	14925
372	8863	14899
373	8886	14874
374	8912	14853
375	8934	14827
376	8954	14798
377	8977	14772
378	9000	14748
379	9022	14720
380	9050	14703
381	9076	14683
382	9102	14663
383	9134	14653
384	9162	14635
385	9184	14609
386	9214	14594
387	9239	14573
388	9267	14555
389	9292	14534
390	9319	14514
391	9344	14493
392	9373	14476
393	9395	14451
394	9422	14431
395	9452	14416
396	9478	14397
397	9505	14377
398	9528	14352
399	9548	14323
400	9569	14294
401	9594	14272
402	9613	14241
